unit,unit_title,round,round_title,en,cn,page
1,Li Ming Goes to Canada,3,早餐与食物,I'd like some milk and bread, please.,请给我一些牛奶和面包。,6
1,Li Ming Goes to Canada,3,早餐与食物,This is the fridge.,这是冰箱。,6
1,Li Ming Goes to Canada,3,早餐与食物,The juice is in the fridge.,果汁在冰箱里。,6
1,Li Ming Goes to Canada,3,早餐与食物,Mum is cooking eggs in the kitchen.,妈妈正在厨房煮鸡蛋。,6
1,Li Ming Goes to Canada,3,早餐与食物,Breakfast is ready!,早餐准备好了！,6
1,Li Ming Goes to Canada,3,早餐与食物,Let's eat!,我们吃吧！,6
1,Li Ming Goes to Canada,3,早餐与食物,These are dishes.,这些是盘子。,6
1,Li Ming Goes to Canada,3,早餐与食物,Let's put some dishes on the table.,我们把一些盘子放到桌子上吧。,6
1,Li Ming Goes to Canada,3,早餐与食物,What would you like for breakfast?,你早餐想吃什么？,6
1,Li Ming Goes to Canada,3,早餐与食物,I'd like some bread, eggs and milk.,我想要一些面包、鸡蛋和牛奶。,6
1,Li Ming Goes to Canada,4,晚餐与帮忙,What time is it?,现在几点？,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,It's half past six.,现在是六点半。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Time for dinner!,该吃晚餐了！,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,I'm hungry, Mum!,妈妈，我饿了！,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,I only ate an apple for lunch.,我午饭只吃了一个苹果。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,What's for dinner?,晚餐吃什么？,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,I'm cooking meat and vegetables.,我正在煮肉和蔬菜。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Let's help my mother make dinner.,我们帮妈妈做晚餐吧。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,She needs some tomatoes.,她需要一些西红柿。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,The tomatoes are in the fridge.,西红柿在冰箱里。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,The potatoes and carrots are on the table.,土豆和胡萝卜在桌子上。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Dinner's ready!,晚餐准备好了！,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,This dinner looks so good, Mrs. Smith.,史密斯太太，这顿晚餐看起来真不错。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Let's wash the dishes.,我们洗碗吧。,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,May I help you?,我可以帮你吗？,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Sure, Li Ming!,当然可以，李明！,8
1,Li Ming Goes to Canada,4,晚餐与帮忙,Now the dishes are clean and dry!,现在盘子又干净又干！,8
1,Li Ming Goes to Canada,5,客厅活动与描述,It's Saturday.,今天是星期六。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,We are in the living room.,我们在客厅里。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Look at us.,看看我们。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,What are we doing?,我们在做什么？,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Jenny and Danny are watching TV.,詹妮和丹尼在看电视。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Jenny is sitting in a chair.,詹妮坐在椅子上。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Danny is sitting beside her.,丹尼坐在她旁边。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Mr. and Mrs. Smith are reading newspapers.,史密斯先生和太太在看报纸。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Lynn and Bob are in front of them.,琳恩和鲍勃在他们面前。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Bob is sitting in a chair.,鲍勃坐在椅子上。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Lynn is sitting beside him.,琳恩坐在他旁边。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,They are playing cards.,他们在玩牌。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,They are happy.,他们很开心。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,I'm sitting at a small table.,我坐在一张小桌子旁。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,I'm writing a letter.,我在写信。,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Do you like this show, Danny?,丹尼，你喜欢这个节目吗？,10
1,Li Ming Goes to Canada,5,客厅活动与描述,Yes, I do!,是的，我喜欢！,10
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,Baby Becky is at home.,小贝姬在家。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,My name is Baby Becky.,我叫小贝姬。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I like to help my mother.,我喜欢帮妈妈。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,After lunch, my mother washes the dishes.,午饭后，妈妈洗碗。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I dry the dishes.,我擦干盘子。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I make dinner.,我做晚餐。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I cook eggs for dinner.,我煮鸡蛋当晚餐。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I open the fridge.,我打开冰箱。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I see tomatoes, eggs and milk.,我看到西红柿、鸡蛋和牛奶。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,My mother says, "Baby Becky, don't play with the dishes!",妈妈说：“小贝姬，别玩盘子！” ,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I don't want my toys.,我不想要我的玩具。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I want the dishes.,我想要盘子。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,My mother says, "Baby Becky! You are dirty!",妈妈说：“小贝姬！你很脏！” ,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,We go to the bathroom.,我们去浴室。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,I put my toy in the toilet.,我把玩具放进马桶。,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,My mother says, "No, Baby Becky! No! No! Don't play in the toilet.",妈妈说：“不，小贝姬！别在马桶里玩！” ,12
1,Li Ming Goes to Canada,6,故事时间 Baby Becky,There's water everywhere in the bathroom.,浴室里到处都是水。,12
2,School in Canada,1,上学方式与天气,It's rainy today.,今天下雨了。,20
2,School in Canada,1,上学方式与天气,I always have my umbrella on a rainy day.,下雨天我总是带伞。,20
2,School in Canada,1,上学方式与天气,Li Ming and I go to school by bus.,我和李明坐公交车上学。,20
2,School in Canada,1,上学方式与天气,Here comes the school bus!,校车来了！,20
2,School in Canada,1,上学方式与天气,Here's the bus driver, Ms. Scott.,这位是司机斯科特女士。,20
2,School in Canada,1,上学方式与天气,Good morning, Ms. Scott.,早上好，斯科特女士。,20
2,School in Canada,1,上学方式与天气,Do you always go to school by bus?,你总是坐公交上学吗？,20
2,School in Canada,1,上学方式与天气,No, sometimes I ride my bike.,不，有时我骑自行车。,20
2,School in Canada,1,上学方式与天气,But I often go to school by bus.,但我经常坐公交上学。,20
2,School in Canada,1,上学方式与天气,Do you walk to school?,你步行上学吗？,20
2,School in Canada,1,上学方式与天气,No, I never walk.,不，我从不步行。,20
2,School in Canada,1,上学方式与天气,I live too far from my school.,我住得离学校太远。,20
2,School in Canada,1,上学方式与天气,Jenny often goes to school by bus.,詹妮经常坐公交上学。,20
2,School in Canada,1,上学方式与天气,Sometimes she rides her bike.,有时她骑自行车。,20
2,School in Canada,1,上学方式与天气,She never walks.,她从不步行。,20
2,School in Canada,2,课堂交流介绍,This is my friend Li Ming.,这是我的朋友李明。,22
2,School in Canada,2,课堂交流介绍,Hi, Li Ming! Nice to meet you!,嗨，李明！很高兴认识你！,22
2,School in Canada,2,课堂交流介绍,Nice to meet you, Mr. Wood!,伍德老师，很高兴认识你！,22
2,School in Canada,2,课堂交流介绍,Where are you from?,你来自哪里？,22
2,School in Canada,2,课堂交流介绍,I am from China.,我来自中国。,22
2,School in Canada,2,课堂交流介绍,How are you, Li Ming?,李明，你好吗？,22
2,School in Canada,2,课堂交流介绍,Very well, thanks!,很好，谢谢！,22
2,School in Canada,2,课堂交流介绍,What subjects do you have?,你们上什么课？,22
2,School in Canada,2,课堂交流介绍,We have English, math, science, art...,我们有英语、数学、科学、美术……,22
2,School in Canada,2,课堂交流介绍,How many classes do you have each school day?,你们每天上几节课？,22
2,School in Canada,2,课堂交流介绍,Three classes in the morning and two in the afternoon.,上午三节，下午两节。,22
2,School in Canada,2,课堂交流介绍,We have lunch at school.,我们在学校吃午饭。,22
2,School in Canada,2,课堂交流介绍,He is from Shijiazhuang.,他来自石家庄。,22
2,School in Canada,2,课堂交流介绍,She is from Xi'an.,她来自西安。,22
2,School in Canada,2,课堂交流介绍,I am from Lanzhou.,我来自兰州。,22
2,School in Canada,2,课堂交流介绍,Where are you from?,你来自哪里？,22
2,School in Canada,3,科学课与温度,What's the temperature, Kim?,金姆，气温是多少？,24
2,School in Canada,3,科学课与温度,It's 15 degrees.,是15度。,24
2,School in Canada,3,科学课与温度,What's the temperature now, Li Ming?,李明，现在气温是多少？,24
2,School in Canada,3,科学课与温度,It's 36.5 degrees.,是36.5度。,24
2,School in Canada,3,科学课与温度,Oh, that's a healthy temperature.,哦，那是健康体温。,24
2,School in Canada,3,科学课与温度,What's the chicken's temperature?,那只鸡的体温是多少？,24
2,School in Canada,3,科学课与温度,Its temperature is 41.5 degrees.,它的体温是41.5度。,24
2,School in Canada,3,科学课与温度,Oh, no! The chicken is ill.,哦，不！鸡生病了。,24
2,School in Canada,3,科学课与温度,It's 7 degrees in Beijing.,北京7度。,24
2,School in Canada,3,科学课与温度,It's cloudy and cold.,多云且寒冷。,24
2,School in Canada,3,科学课与温度,It's 19 degrees in Guangzhou.,广州19度。,24
2,School in Canada,3,科学课与温度,It's warm and sunny.,温暖晴朗。,24
2,School in Canada,3,科学课与温度,It's 12 degrees in London.,伦敦12度。,24
2,School in Canada,3,科学课与温度,It's cool and rainy.,凉爽有雨。,24
2,School in Canada,3,科学课与温度,What's the weather like today?,今天天气怎么样？,24
2,School in Canada,3,科学课与温度,It's rainy and cool.,有雨且凉爽。,24
2,School in Canada,4,复数与不规则名词,This is a pencil.,这是一支铅笔。,26
2,School in Canada,4,复数与不规则名词,These are many pencils.,这些是许多铅笔。,26
2,School in Canada,4,复数与不规则名词,This is a box.,这是一个盒子。,26
2,School in Canada,4,复数与不规则名词,These are many boxes.,这些是许多盒子。,26
2,School in Canada,4,复数与不规则名词,This is a bus.,这是一辆公交车。,26
2,School in Canada,4,复数与不规则名词,These are three buses.,这些是三辆公交车。,26
2,School in Canada,4,复数与不规则名词,This is a tomato.,这是一个西红柿。,26
2,School in Canada,4,复数与不规则名词,These are many tomatoes.,这些是许多西红柿。,26
2,School in Canada,4,复数与不规则名词,This is a potato.,这是一个土豆。,26
2,School in Canada,4,复数与不规则名词,These are many potatoes.,这些是许多土豆。,26
2,School in Canada,4,复数与不规则名词,This is a photo.,这是一张照片。,26
2,School in Canada,4,复数与不规则名词,These are many photos.,这些是许多照片。,26
2,School in Canada,4,复数与不规则名词,This man is old.,这个男人老了。,26
2,School in Canada,4,复数与不规则名词,These men are young.,这些男人年轻。,26
2,School in Canada,4,复数与不规则名词,This woman is dancing.,这个女人在跳舞。,26
2,School in Canada,4,复数与不规则名词,These women are singing.,这些女人在唱歌。,26
2,School in Canada,5,频率副词与习惯,Li Ming, do you do your homework?,李明，你做作业吗？,28
2,School in Canada,5,频率副词与习惯,Yes, always!,是的，总是做！,28
2,School in Canada,5,频率副词与习惯,Jenny, do you help your mother?,詹妮，你帮妈妈吗？,28
2,School in Canada,5,频率副词与习惯,Yes, I often clean the kitchen.,是的，我经常打扫厨房。,28
2,School in Canada,5,频率副词与习惯,Steven, do you walk to school?,史蒂文，你步行上学吗？,28
2,School in Canada,5,频率副词与习惯,Yes, sometimes.,是的，有时。,28
2,School in Canada,5,频率副词与习惯,Danny, do you wear dresses?,丹尼，你穿裙子吗？,28
2,School in Canada,5,频率副词与习惯,No!! I never wear dresses!,不！！我从不穿裙子！,28
2,School in Canada,5,频率副词与习惯,Wang Hong always reads books.,王红总是读书。,28
2,School in Canada,5,频率副词与习惯,Wang Hong sometimes watches TV.,王红有时看电视。,28
2,School in Canada,5,频率副词与习惯,Guo Yang often plays computer games.,郭阳经常玩电脑游戏。,28
2,School in Canada,5,频率副词与习惯,Guo Yang always has lunch at school.,郭阳总是在学校吃午饭。,28
2,School in Canada,5,频率副词与习惯,Kim sometimes wears skirts.,金姆有时穿裙子。,28
2,School in Canada,5,频率副词与习惯,Kim never goes to the cinema.,金姆从不去电影院。,28
2,School in Canada,5,频率副词与习惯,I always do my homework.,我总是做作业。,28
2,School in Canada,5,频率副词与习惯,I never play computer games.,我从不玩电脑游戏。,28
2,School in Canada,6,安全与故事,Today is the first day of school.,今天是开学第一天。,30
2,School in Canada,6,安全与故事,They are waiting for the school bus.,他们在等校车。,30
2,School in Canada,6,安全与故事,They are very happy.,他们很开心。,30
2,School in Canada,6,安全与故事,I am always very careful.,我总是很小心。,30
2,School in Canada,6,安全与故事,I often look to the left and to the right.,我经常左右看。,30
2,School in Canada,6,安全与故事,I always watch for cars and bikes.,我总是注意汽车和自行车。,30
2,School in Canada,6,安全与故事,Sometimes I take my friend's hand.,有时我牵着朋友的手。,30
2,School in Canada,6,安全与故事,This will keep her safe.,这会保证她的安全。,30
2,School in Canada,6,安全与故事,Be careful, Neva.,尼瓦，小心。,30
2,School in Canada,6,安全与故事,Don't stand too close to the street.,别站得离街太近。,30
2,School in Canada,6,安全与故事,Now they see the yellow school bus.,现在他们看到了黄色校车。,30
2,School in Canada,6,安全与故事,The driver is a woman.,司机是位女士。,30
2,School in Canada,6,安全与故事,She is very nice.,她非常友好。,30
2,School in Canada,6,安全与故事,Always remember to be safe on the way.,永远记得路上要安全。,30
2,School in Canada,6,安全与故事,Please wear your seat belts.,请系好安全带。,30
2,School in Canada,6,安全与故事,The first day of school is always a happy day.,开学第一天总是快乐的一天。,30
3,Winter in Canada,1,四季与服装,Winter, spring, summer and autumn are seasons.,春夏秋冬都是季节。,38
3,Winter in Canada,1,四季与服装,There are four seasons in a year.,一年有四个季节。,38
3,Winter in Canada,1,四季与服装,This is winter.,这是冬天。,38
3,Winter in Canada,1,四季与服装,Winter is cold.,冬天很冷。,38
3,Winter in Canada,1,四季与服装,There is ice and snow.,有冰和雪。,38
3,Winter in Canada,1,四季与服装,This is spring.,这是春天。,38
3,Winter in Canada,1,四季与服装,Spring is warm and rainy.,春天温暖多雨。,38
3,Winter in Canada,1,四季与服装,There are new leaves and flowers.,有新叶和花朵。,38
3,Winter in Canada,1,四季与服装,This is summer.,这是夏天。,38
3,Winter in Canada,1,四季与服装,The summer sun is hot.,夏天的太阳很热。,38
3,Winter in Canada,1,四季与服装,What a hot, sunny day!,多么炎热晴朗的一天！,38
3,Winter in Canada,1,四季与服装,This is autumn.,这是秋天。,38
3,Winter in Canada,1,四季与服装,Autumn is cool.,秋天凉爽。,38
3,Winter in Canada,1,四季与服装,The leaves turn red and yellow.,叶子变成红色和黄色。,38
3,Winter in Canada,1,四季与服装,In winter, I put on my hat, scarf and winter coat.,冬天我戴上帽子、围巾和冬装。,38
3,Winter in Canada,1,四季与服装,In spring, I take off my winter clothes.,春天我脱掉冬装。,38
3,Winter in Canada,2,穿衣动作与感受,Today is Saturday, December 9.,今天是12月9日星期六。,40
3,Winter in Canada,2,穿衣动作与感受,It is cold and snowy this morning.,今天早上寒冷下雪。,40
3,Winter in Canada,2,穿衣动作与感受,Jenny and Li Ming put on their winter coats.,詹妮和李明穿上冬装。,40
3,Winter in Canada,2,穿衣动作与感受,Li Ming puts on his scarf and winter hat, too.,李明也戴上围巾和冬帽。,40
3,Winter in Canada,2,穿衣动作与感受,Please put on your scarf and gloves, Jenny.,詹妮，请戴上围巾和手套。,40
3,Winter in Canada,2,穿衣动作与感受,What a cold, snowy day!,多么寒冷下雪的一天！,40
3,Winter in Canada,2,穿衣动作与感受,Now I'm putting on my coat.,现在我在穿外套。,40
3,Winter in Canada,2,穿衣动作与感受,Now I'm putting on my scarf.,现在我在戴围巾。,40
3,Winter in Canada,2,穿衣动作与感受,I'm putting on my winter hat.,我在戴冬帽。,40
3,Winter in Canada,2,穿衣动作与感受,Oh, no! I'm hot again.,哦，不！我又热了。,40
3,Winter in Canada,2,穿衣动作与感受,I'm going to take off my winter hat and scarf.,我要脱掉冬帽和围巾。,40
3,Winter in Canada,2,穿衣动作与感受,I'm too hot.,我太热了。,40
3,Winter in Canada,2,穿衣动作与感受,I'm cold again.,我又冷了。,40
3,Winter in Canada,2,穿衣动作与感受,I'm going to put on my winter hat and scarf again.,我要重新戴上冬帽和围巾。,40
3,Winter in Canada,3,堆雪人过程,Let's make a snowman.,我们堆个雪人吧。,42
3,Winter in Canada,3,堆雪人过程,We make snowmen in China, too!,在中国我们也堆雪人！,42
3,Winter in Canada,3,堆雪人过程,First, we make a big snowball.,首先，我们滚一个大雪球。,42
3,Winter in Canada,3,堆雪人过程,Then we make a small snowball for his head.,然后我们做一个小雪球当他的头。,42
3,Winter in Canada,3,堆雪人过程,Can you put this snowball on that snowball?,你能把这个雪球放在那个雪球上吗？,42
3,Winter in Canada,3,堆雪人过程,I have two stones for his eyes.,我用两块石头当他的眼睛。,42
3,Winter in Canada,3,堆雪人过程,I have two sticks for his arms.,我用两根树枝当他的胳膊。,42
3,Winter in Canada,3,堆雪人过程,This carrot is his nose.,这根胡萝卜是他的鼻子。,42
3,Winter in Canada,3,堆雪人过程,A banana for his mouth.,一根香蕉当他的嘴巴。,42
3,Winter in Canada,3,堆雪人过程,Two potatoes for his ears.,两个土豆当他的耳朵。,42
3,Winter in Canada,3,堆雪人过程,I think he's wonderful!,我觉得他太棒了！,42
3,Winter in Canada,3,堆雪人过程,Does the snowman have any legs or feet?,雪人有腿或脚吗？,42
3,Winter in Canada,3,堆雪人过程,Next we make two balls of paper.,接下来我们做两个纸球。,42
3,Winter in Canada,3,堆雪人过程,Finally, we draw a face and make the snowman complete.,最后我们画脸，雪人完成了。,42
3,Winter in Canada,4,滑冰与学习,Can you skate?,你会滑冰吗？,44
3,Winter in Canada,4,滑冰与学习,Danny is going to teach Li Ming to skate.,丹尼要教李明滑冰。,44
3,Winter in Canada,4,滑冰与学习,Look! There's Danny!,看！丹尼在那儿！,44
3,Winter in Canada,4,滑冰与学习,Sorry, I'm late.,对不起，我迟到了。,44
3,Winter in Canada,4,滑冰与学习,I'm going to teach you to skate, Li Ming.,李明，我要教你滑冰。,44
3,Winter in Canada,4,滑冰与学习,Can you stand up on the ice?,你能在冰上站起来吗？,44
3,Winter in Canada,4,滑冰与学习,Yes, I can.,是的，我可以。,44
3,Winter in Canada,4,滑冰与学习,Look, Danny! I'm standing!,丹尼，看！我站起来了！,44
3,Winter in Canada,4,滑冰与学习,Good!,好！,44
3,Winter in Canada,4,滑冰与学习,Can you skate?,你会滑吗？,44
3,Winter in Canada,4,滑冰与学习,I think I can.,我觉得我可以。,44
3,Winter in Canada,4,滑冰与学习,Oops! He falls down.,哎呀！他摔倒了。,44
3,Winter in Canada,4,滑冰与学习,You learn fast, Li Ming!,李明，你学得很快！,44
3,Winter in Canada,4,滑冰与学习,Can you stand up?,你能站起来吗？,44
3,Winter in Canada,4,滑冰与学习,No, I can't.,不，我不能。,44
3,Winter in Canada,5,喜好与季节活动,I like winter.,我喜欢冬天。,46
3,Winter in Canada,5,喜好与季节活动,Why?,为什么？,46
3,Winter in Canada,5,喜好与季节活动,Because I like the snow.,因为我喜欢雪。,46
3,Winter in Canada,5,喜好与季节活动,I like to make snowmen.,我喜欢堆雪人。,46
3,Winter in Canada,5,喜好与季节活动,And I like the Spring Festival.,我也喜欢春节。,46
3,Winter in Canada,5,喜好与季节活动,I like summer.,我喜欢夏天。,46
3,Winter in Canada,5,喜好与季节活动,I like summer holidays.,我喜欢暑假。,46
3,Winter in Canada,5,喜好与季节活动,I love to swim in the sea.,我喜欢在海里游泳。,46
3,Winter in Canada,5,喜好与季节活动,My favourite season is autumn.,我最喜欢的季节是秋天。,46
3,Winter in Canada,5,喜好与季节活动,It's cool and windy.,凉爽有风。,46
3,Winter in Canada,5,喜好与季节活动,I like to fly a kite.,我喜欢放风筝。,46
3,Winter in Canada,5,喜好与季节活动,And I love to eat mooncakes.,我也喜欢吃月饼。,46
3,Winter in Canada,5,喜好与季节活动,Winter, winter, I love the cold, white snow.,冬天，冬天，我爱寒冷的白雪。,46
3,Winter in Canada,5,喜好与季节活动,What's my favourite season?,我最喜欢的季节是什么？,46
3,Winter in Canada,5,喜好与季节活动,I love the spring.,我爱春天。,46
3,Winter in Canada,5,喜好与季节活动,I love the rain.,我爱雨。,46
3,Winter in Canada,5,喜好与季节活动,I love the new leaves.,我爱新叶。,46
3,Winter in Canada,6,故事时间 The Snowman,One day, John said to his mother, "I am going to play in the snow.",一天，约翰对妈妈说：“我要去雪地里玩。” ,48
3,Winter in Canada,6,故事时间 The Snowman,"Okay," said his mother. "Put on your coat.",妈妈说：“好，穿上外套。” ,48
3,Winter in Canada,6,故事时间 The Snowman,John put on his coat.,约翰穿上外套。,48
3,Winter in Canada,6,故事时间 The Snowman,"Don't forget your hat!" said his mother.,妈妈说：“别忘戴帽子！” ,48
3,Winter in Canada,6,故事时间 The Snowman,He played in the snow.,他在雪地里玩。,48
3,Winter in Canada,6,故事时间 The Snowman,He made a big snowman.,他堆了一个大雪人。,48
3,Winter in Canada,6,故事时间 The Snowman,"Poor snowman! It's cold! Put on a hat!",“可怜的雪人！太冷了！戴顶帽子吧！” ,48
3,Winter in Canada,6,故事时间 The Snowman,He took off his hat and put it on the snowman.,他摘下帽子戴在雪人头上。,48
3,Winter in Canada,6,故事时间 The Snowman,The snowman opened his eyes!,雪人睁开了眼睛！,48
3,Winter in Canada,6,故事时间 The Snowman,"Hello," he said. "How are you?",“你好，”他说，“你好吗？” ,48
3,Winter in Canada,6,故事时间 The Snowman,"Yikes!" said John.,“呀！”约翰叫道。,48
3,Winter in Canada,6,故事时间 The Snowman,"You can talk!" said John.,“你会说话！”约翰说。,48
3,Winter in Canada,6,故事时间 The Snowman,"What's your name?" asked John.,“你叫什么名字？”约翰问。,48
3,Winter in Canada,6,故事时间 The Snowman,"I don't think I have a name," said the snowman.,“我想我没有名字，”雪人说。,48
3,Winter in Canada,6,故事时间 The Snowman,"Can you skate?" asked John.,“你会滑冰吗？”约翰问。,48
3,Winter in Canada,6,故事时间 The Snowman,"Skate? I don't know," said the snowman.,“滑冰？我不知道，”雪人说。,48
3,Winter in Canada,6,故事时间 The Snowman,"Do you want to learn? I can teach you," said John.,“你想学吗？我可以教你，”约翰说。,48
4,Christmas,1,节日介绍与装饰,Christmas is a Western holiday.,圣诞节是西方节日。,56
4,Christmas,1,节日介绍与装饰,On a holiday, people don't work.,节日里人们不上班。,56
4,Christmas,1,节日介绍与装饰,Children don't go to school.,孩子们不上学。,56
4,Christmas,1,节日介绍与装饰,At Christmas, we have Christmas trees, lights and Santa.,圣诞节我们有圣诞树、灯和圣诞老人。,56
4,Christmas,1,节日介绍与装饰,This is a Christmas tree.,这是一棵圣诞树。,56
4,Christmas,1,节日介绍与装饰,It's so beautiful!,它真漂亮！,56
4,Christmas,1,节日介绍与装饰,These are Christmas lights on our house.,这些是我们房子上的圣诞灯。,56
4,Christmas,1,节日介绍与装饰,This is Santa.,这是圣诞老人。,56
4,Christmas,1,节日介绍与装饰,He is a merry man in red clothes.,他是个穿红衣服的快乐男人。,56
4,Christmas,1,节日介绍与装饰,Children say he brings gifts on Christmas.,孩子们说他在圣诞节送礼物。,56
4,Christmas,1,节日介绍与装饰,We invite our family and friends to our house.,我们邀请家人朋友来家里。,56
4,Christmas,1,节日介绍与装饰,They bring gifts for us.,他们给我们带礼物。,56
